Addresses,Price,Price Type,Rent Estimate,Property Type,Number of Bedrooms,Number of Bathrooms,Square Feet,YTD,Address Link
"Ne 138th St, North Miami, FL 33161","$446,250",Estimated Market Value,$1400/m,Multi-Family,4,2,1824, 117%,https://www.foreclosure.com/address/Ne-138th-St-North-Miami-FL-33161/60775206_lid
"Ne 195th St Apt 102, Miami, FL 33179",N/A,N/A,N/A,Condo,2,2,N/A,N/A,https://www.foreclosure.com/address/Ne-195th-St-Apt-102-Miami-FL-33179/60775207_lid
"Ne 18 St 1204, Miami, FL 33132",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Ne-18-St-1204-Miami-FL-33132/60775208_lid
"Sw 70th St, Miami, FL 33193","$582,806",Estimated Market Value,$2150/m,Single-Family,4,2,N/A, 112%,https://www.foreclosure.com/address/Sw-70th-St-Miami-FL-33193/60775209_lid
"Ne 116th St, Miami, FL 33161","$480,300",Estimated Market Value,$1301/m,Multi-Family,2,2,1051, 103%,https://www.foreclosure.com/address/Ne-116th-St-Miami-FL-33161/60775210_lid
"Nw 150th Ter, Miami Lakes, FL 33018","$602,699",Estimated Market Value,$2360/m,Single-Family,3,2,2101, 109%,https://www.foreclosure.com/address/Nw-150th-Ter-Miami-Lakes-FL-33018/60775211_lid
"Nw 194th St, Hialeah, FL 33015","$514,502",Estimated Market Value,$2010/m,Single-Family,3,2,N/A, 98%,https://www.foreclosure.com/address/Nw-194th-St-Hialeah-FL-33015/60775212_lid
"Sw 133rd Pl, Miami, FL 33183","$453,543",Estimated Market Value,$1880/m,Single-Family,3,2,N/A, 118%,https://www.foreclosure.com/address/Sw-133rd-Pl-Miami-FL-33183/60775213_lid
"Nw 30th St, Miami, FL 33142","$534,755",Estimated Market Value,$1630/m,Single-Family,3,1,928, 123%,https://www.foreclosure.com/address/Nw-30th-St-Miami-FL-33142/60775214_lid
"Ne 41st Ter, Homestead, FL 33033","$558,000",Estimated Market Value,$1800/m,Single-Family,4,2,N/A, 138%,https://www.foreclosure.com/address/Ne-41st-Ter-Homestead-FL-33033/60775215_lid
"Sw 113th Pl, Miami, FL 33170","$446,978",Estimated Market Value,$1540/m,Single-Family,4,2,1308, 115%,https://www.foreclosure.com/address/Sw-113th-Pl-Miami-FL-33170/60775216_lid
"Sw 42nd Ter, Miami, FL 33185","$791,603",Estimated Market Value,$2850/m,Single-Family,4,3,2279, 116%,https://www.foreclosure.com/address/Sw-42nd-Ter-Miami-FL-33185/60775217_lid
"Nw 32nd St, Miami, FL 33142","$504,135",Estimated Market Value,$1398/m,Multi-Family,2,1,2082, 114%,https://www.foreclosure.com/address/Nw-32nd-St-Miami-FL-33142/60775219_lid
"Ne 199th St Apt B208, Miami, FL 33179",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Ne-199th-St-Apt-B208-Miami-FL-33179/60775220_lid
"Sw 37th Ct, Miami, FL 33134","$774,945",Estimated Market Value,$2130/m,Multi-Family,5,3,2428, 122%,https://www.foreclosure.com/address/Sw-37th-Ct-Miami-FL-33134/60775221_lid
"Sw 19th St, Miami, FL 33145","$1,137,033",Estimated Market Value,$2800/m,Single-Family,5,3,2689, 119%,https://www.foreclosure.com/address/Sw-19th-St-Miami-FL-33145/60775223_lid
"Nw 7th Ave, Miami, FL 33169","$382,297",Estimated Market Value,$1590/m,Single-Family,3,2,N/A, 116%,https://www.foreclosure.com/address/Nw-7th-Ave-Miami-FL-33169/60775224_lid
"Nw 169th St Apt C210, Hialeah, FL 33015",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Nw-169th-St-Apt-C210-Hialeah-FL-33015/60775222_lid
"Sw 138th St, Miami, FL 33176","$563,009",Estimated Market Value,$2140/m,Single-Family,4,2,N/A, 106%,https://www.foreclosure.com/address/Sw-138th-St-Miami-FL-33176/60775225_lid
"Sw 80th St # 114a, Miami, FL 33143","$339,359",Estimated Market Value,$1700/m,Condo,2,1,N/A, 118%,https://www.foreclosure.com/address/Sw-80th-St--114a-Miami-FL-33143/60775226_lid
"Nw 99th Ave, Parkland, FL 33076","$1,186,094",Estimated Market Value,$4360/m,Single-Family,N/A,N/A,3027, 112%,https://www.foreclosure.com/address/Nw-99th-Ave-Parkland-FL-33076/60776197_lid
"Gemstone Ln, Plant City, FL 33566","$236,301",Estimated Market Value,$1241/m,Single-Family,4,2,2052, 101%,https://www.foreclosure.com/address/Gemstone-Ln-Plant-City-FL-33566/60776198_lid
"Black Olive Blvd Apt 202, Delray Beach, FL 33445","$195,326",Estimated Market Value,$1251/m,N/A,N/A,N/A,N/A, 101%,https://www.foreclosure.com/address/Black-Olive-Blvd-Apt-202-Delray-Beach-FL-33445/60776519_lid
"Aster Ave, Wellington, FL 33414","$480,635",Estimated Market Value,$2110/m,Single-Family,N/A,2,1513, 168%,https://www.foreclosure.com/address/Aster-Ave-Wellington-FL-33414/60776520_lid
"Sussex St, Boynton Beach, FL 33436","$373,282",Estimated Market Value,$1630/m,Single-Family,3,2,1270, 102%,https://www.foreclosure.com/address/Sussex-St-Boynton-Beach-FL-33436/60776521_lid
"Gladiator Cir, Greenacres, FL 33463","$329,867",Estimated Market Value,$1430/m,Single-Family,N/A,2,1132, 114%,https://www.foreclosure.com/address/Gladiator-Cir-Greenacres-FL-33463/60776522_lid
"S D St, Lake Worth, FL 33460","$298,953",Estimated Market Value,$1201/m,Single-Family,N/A,2,1008, 105%,https://www.foreclosure.com/address/S-D-St-Lake-Worth-FL-33460/60776523_lid
"Sw Penrose Ave, Port Saint Lucie, FL 34953","$396,507",Estimated Market Value,$1450/m,Single-Family,2,2,1462, 99%,https://www.foreclosure.com/address/Sw-Penrose-Ave-Port-Saint-Lucie-FL-34953/60777743_lid
"Pine Trl, Saint Lucie County, FL 34951",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Pine-Trl-Saint-Lucie-County-FL-34951/60777744_lid
"Sw 28th Ct, Miramar, FL 33029","$425,006",Estimated Market Value,$2460/m,Single-Family,N/A,N/A,1815, 108%,https://www.foreclosure.com/address/Sw-28th-Ct-Miramar-FL-33029/60777764_lid
"Leisure Blvd, Pompano Beach, FL 33064","$308,582",Estimated Market Value,$1480/m,Single-Family,2,1,1158, 120%,https://www.foreclosure.com/address/Leisure-Blvd-Pompano-Beach-FL-33064/60777765_lid
"Lake Miramar Way, Miramar, FL 33025","$604,464",Estimated Market Value,$2270/m,Single-Family,4,1.5,3094, 110%,https://www.foreclosure.com/address/Lake-Miramar-Way-Miramar-FL-33025/60777766_lid
"Sw 170th Ave, Miramar, FL 33027","$720,720",Estimated Market Value,$2900/m,Single-Family,6,4,4731, 109%,https://www.foreclosure.com/address/Sw-170th-Ave-Miramar-FL-33027/60777767_lid
"Nw 120th Ave, Plantation, FL 33323","$838,529",Estimated Market Value,$3460/m,Single-Family,4,2,2427, 104%,https://www.foreclosure.com/address/Nw-120th-Ave-Plantation-FL-33323/60777768_lid
"Nw 26th Ct Apt 337, Lauderdale Lakes, FL 33313","$97,970",Estimated Market Value,$881/m,Condo,1,1,705, 128%,https://www.foreclosure.com/address/Nw-26th-Ct-Apt-337-Lauderdale-Lakes-FL-33313/60777769_lid
"Hillsboro Mile Apt 208s, Hillsboro Beach, FL 33062",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Hillsboro-Mile-Apt-208s-Hillsboro-Beach-FL-33062/60777770_lid
"S Dixie Hwy W, Pompano Beach, FL 33060",N/A,N/A,N/A,Commercial,N/A,N/A,9203,N/A,https://www.foreclosure.com/address/S-Dixie-Hwy-W-Pompano-Beach-FL-33060/60777771_lid
"Commodore Dr Apt 101, Plantation, FL 33325","$270,970",Estimated Market Value,$1430/m,Condo,2,2,1130, 107%,https://www.foreclosure.com/address/Commodore-Dr-Apt-101-Plantation-FL-33325/60777773_lid
"N 41st Ct, Hollywood, FL 33021","$871,157",Estimated Market Value,$3000/m,Single-Family,3,2,2778, 111%,https://www.foreclosure.com/address/N-41st-Ct-Hollywood-FL-33021/60777774_lid
"Nw 17th St, Fort Lauderdale, FL 33311","$450,106",Estimated Market Value,$1480/m,Single-Family,2,N/A,1499, 129%,https://www.foreclosure.com/address/Nw-17th-St-Fort-Lauderdale-FL-33311/60777775_lid
"Thomas St, Hollywood, FL 33021","$729,149",Estimated Market Value,$2240/m,Single-Family,3,2,2428, 107%,https://www.foreclosure.com/address/Thomas-St-Hollywood-FL-33021/60777776_lid
"Nw 28th St, Margate, FL 33063","$551,543",Estimated Market Value,$2320/m,Single-Family,4,3,2241, 99%,https://www.foreclosure.com/address/Nw-28th-St-Margate-FL-33063/60777778_lid
"Environ Blvd, Lauderhill, FL 33319",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Environ-Blvd-Lauderhill-FL-33319/60777777_lid
"Redwood Ct, Poinciana, FL 34759",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Redwood-Ct-Poinciana-FL-34759/60777780_lid
"Cherry Hill Dr, Lakeland, FL 33810","$302,329",Estimated Market Value,$1171/m,Single-Family,3,2,1288, 102%,https://www.foreclosure.com/address/Cherry-Hill-Dr-Lakeland-FL-33810/60777783_lid
"Huntington St, Lakeland, FL 33801","$284,112",Estimated Market Value,$1131/m,Single-Family,N/A,1,1202, 94%,https://www.foreclosure.com/address/Huntington-St-Lakeland-FL-33801/60777782_lid
"Red Oak Ct, Lake Wales, FL 33898","$331,254",Estimated Market Value,$1271/m,Single-Family,3,2,1862, 102%,https://www.foreclosure.com/address/Red-Oak-Ct-Lake-Wales-FL-33898/60777784_lid
"Gila Way, Poinciana, FL 34759",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Gila-Way-Poinciana-FL-34759/60777785_lid
"Dudley Dr, Bartow, FL 33830","$200,159",Estimated Market Value,$900/m,Single-Family,N/A,1,960, 110%,https://www.foreclosure.com/address/Dudley-Dr-Bartow-FL-33830/60777786_lid
"H L Sudduth Dr, Panama City, FL 32404","$315,360",Estimated Market Value,$1370/m,Single-Family,3,2.5,1832, 116%,https://www.foreclosure.com/address/H-L-Sudduth-Dr-Panama-City-FL-32404/60774114_lid
"E Robinson St, Orlando, FL 32801",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/E-Robinson-St-Orlando-FL-32801/60769820_lid
"Sw 88th Ter Apt G, Miami, FL 33186","$530,837",Estimated Market Value,$2140/m,Townhome,3,3,1908, 116%,https://www.foreclosure.com/address/Sw-88th-Ter-Apt-G-Miami-FL-33186/60770873_lid
"72nd St E, Palmetto, FL 34221","$420,322",Estimated Market Value,$1550/m,Single-Family,3,2,1717, 100%,https://www.foreclosure.com/address/72nd-St-E-Palmetto-FL-34221/60770872_lid
"Nw 196th Ter, Miami Gardens, FL 33056","$542,619",Estimated Market Value,$1770/m,Single-Family,4,2,2151, 113%,https://www.foreclosure.com/address/Nw-196th-Ter-Miami-Gardens-FL-33056/60770892_lid
"Polk Ave, Pensacola, FL 32507","$306,816",Estimated Market Value,$1100/m,Single-Family,N/A,2,1827, 118%,https://www.foreclosure.com/address/Polk-Ave-Pensacola-FL-32507/60770910_lid
"W Park Dr Apt 203, Miami, FL 33172",N/A,N/A,N/A,Condo,3,2,1130,N/A,https://www.foreclosure.com/address/W-Park-Dr-Apt-203-Miami-FL-33172/60770917_lid
"Arredondo St, North Port, FL 34286","$498,232",Estimated Market Value,$1740/m,Single-Family,3,2,2290, 96%,https://www.foreclosure.com/address/Arredondo-St-North-Port-FL-34286/60770918_lid
"Buttonweed Trl, Zephyrhills, FL 33541",N/A,N/A,N/A,Land,N/A,N/A,0,N/A,https://www.foreclosure.com/address/Buttonweed-Trl-Zephyrhills-FL-33541/60770934_lid
"Nw 104th Ave Apt 303, Sunrise, FL 33322","$230,591",Estimated Market Value,$1520/m,Condo,2,2,1404, 128%,https://www.foreclosure.com/address/Nw-104th-Ave-Apt-303-Sunrise-FL-33322/60770935_lid
"Auburn Ln, New Port Richey, FL 34654","$565,704",Estimated Market Value,$1920/m,Single-Family,N/A,3,2787, 121%,https://www.foreclosure.com/address/Auburn-Ln-New-Port-Richey-FL-34654/60770945_lid
"Golden Isles Dr Ofc G7, Hallandale Beach, FL 33009",N/A,N/A,N/A,Condo,2,2,1250,N/A,https://www.foreclosure.com/address/Golden-Isles-Dr-Ofc-G7-Hallandale-Beach-FL-33009/60770990_lid
"Sw 152nd Ave Apt 32, Miami, FL 33193","$352,015",Estimated Market Value,$1640/m,Condo,3,3,1450, 108%,https://www.foreclosure.com/address/Sw-152nd-Ave-Apt-32-Miami-FL-33193/60770994_lid
"Sw 7th St Apt 1, Boca Raton, FL 33432","$238,433",Estimated Market Value,$1660/m,Condo,3,2,1140, 118%,https://www.foreclosure.com/address/Sw-7th-St-Apt-1-Boca-Raton-FL-33432/60771017_lid
"Buttonweed Trl, Zephyrhills, FL 33541",N/A,N/A,N/A,Land,N/A,N/A,0,N/A,https://www.foreclosure.com/address/Buttonweed-Trl-Zephyrhills-FL-33541/60771022_lid
"Cocoplum Cir # 33144, Coconut Creek, FL 33063","$296,743",Estimated Market Value,$1490/m,Condo,2,2,1182, 112%,https://www.foreclosure.com/address/Cocoplum-Cir--33144-Coconut-Creek-FL-33063/60771036_lid
"Orleans Ct Apt B, West Palm Beach, FL 33415","$293,412",Estimated Market Value,$1420/m,Townhome,3,2,1312, 115%,https://www.foreclosure.com/address/Orleans-Ct-Apt-B-West-Palm-Beach-FL-33415/60771057_lid
"Nw 51st St, Coconut Creek, FL 33073","$655,875",Estimated Market Value,$2550/m,Single-Family,4,2,1931, 110%,https://www.foreclosure.com/address/Nw-51st-St-Coconut-Creek-FL-33073/60771097_lid
"Buena Vista Ave, Ormond Beach, FL 32174","$335,523",Estimated Market Value,$1408/m,Single-Family,3,2,1584, 97%,https://www.foreclosure.com/address/Buena-Vista-Ave-Ormond-Beach-FL-32174/60771108_lid
"Wenhart Rd, Lake Worth, FL 33463","$457,856",Estimated Market Value,$1970/m,Single-Family,N/A,2,1590, 97%,https://www.foreclosure.com/address/Wenhart-Rd-Lake-Worth-FL-33463/60771109_lid
"Collins Ave Ofc 31, Miami Beach, FL 33141",N/A,N/A,N/A,Condo,N/A,1,330,N/A,https://www.foreclosure.com/address/Collins-Ave-Ofc-31-Miami-Beach-FL-33141/60771112_lid
"Gulfstream Rd, Palm Springs, FL 33461",N/A,N/A,N/A,Single-Family,4,2,2352,N/A,https://www.foreclosure.com/address/Gulfstream-Rd-Palm-Springs-FL-33461/60771130_lid
"189th Ter, Sunny Isles Beach, FL 33160","$3,656,801",Estimated Market Value,$3420/m,Single-Family,5,6,3957, 99%,https://www.foreclosure.com/address/189th-Ter-Sunny-Isles-Beach-FL-33160/60771142_lid
"Liberty St Apt 9, Hollywood, FL 33020",N/A,N/A,N/A,Condo,2,1,708,N/A,https://www.foreclosure.com/address/Liberty-St-Apt-9-Hollywood-FL-33020/60771150_lid
"Cedar Highlands Blvd, Daytona Beach, FL 32117","$240,075",Estimated Market Value,$1131/m,Single-Family,2,2,1354, 133%,https://www.foreclosure.com/address/Cedar-Highlands-Blvd-Daytona-Beach-FL-32117/60771154_lid
"Collins Ave Apt 644, Sunny Isles Beach, FL 33160","$1,063,691",Estimated Market Value,$2860/m,Condo,2,2,1760, 108%,https://www.foreclosure.com/address/Collins-Ave-Apt-644-Sunny-Isles-Beach-FL-33160/60771181_lid
"Kirkwood Cir, Wesley Chapel, FL 33544","$584,079",Estimated Market Value,$2030/m,Single-Family,N/A,3,2740, 98%,https://www.foreclosure.com/address/Kirkwood-Cir-Wesley-Chapel-FL-33544/60771222_lid
"W 61st Pl Apt 202, Hialeah, FL 33016","$304,289",Estimated Market Value,$1530/m,Condo,3,2,972, 122%,https://www.foreclosure.com/address/W-61st-Pl-Apt-202-Hialeah-FL-33016/60771238_lid
"Sw 4th Ter, Florida City, FL 33034",N/A,N/A,N/A,Single-Family,4,3,2154,N/A,https://www.foreclosure.com/address/Sw-4th-Ter-Florida-City-FL-33034/60771252_lid
"Arbor Crest Way, Palm Beach Gardens, FL 33412",N/A,N/A,N/A,Single-Family,3,4,3397,N/A,https://www.foreclosure.com/address/Arbor-Crest-Way-Palm-Beach-Gardens-FL-33412/60771260_lid
"N Jackson Rd, Venice, FL 34292",N/A,N/A,N/A,Land,8,25,23365,N/A,https://www.foreclosure.com/address/N-Jackson-Rd-Venice-FL-34292/60771276_lid
"Nw 29th Ct, Lauderdale Lakes, FL 33311",N/A,N/A,N/A,Townhome,3,2,1560,N/A,https://www.foreclosure.com/address/Nw-29th-Ct-Lauderdale-Lakes-FL-33311/60771281_lid
"Tahiti Ln Apt 208, Lake Worth, FL 33467","$185,317",Estimated Market Value,$1271/m,Condo,2,2,1200, 130%,https://www.foreclosure.com/address/Tahiti-Ln-Apt-208-Lake-Worth-FL-33467/60771283_lid
"Marlin St, Nokomis, FL 34275",N/A,N/A,N/A,Single-Family,N/A,N/A,0,N/A,https://www.foreclosure.com/address/Marlin-St-Nokomis-FL-34275/60771295_lid
"Thurston Ave, Lake Worth, FL 33463","$407,190",Estimated Market Value,$1700/m,Single-Family,4,2,1418, 98%,https://www.foreclosure.com/address/Thurston-Ave-Lake-Worth-FL-33463/60771316_lid
"Benjamin Franklin Dr #..., Sarasota, FL 34236",N/A,N/A,N/A,Condo,2,2,1389,N/A,https://www.foreclosure.com/address/Benjamin-Franklin-Dr--Ph-3-Sarasota-FL-34236/60771323_lid
"Seven Rivers Cir, Land O Lakes, FL 34639","$379,750",Estimated Market Value,$1660/m,Single-Family,N/A,2,1578, 101%,https://www.foreclosure.com/address/Seven-Rivers-Cir-Land-O-Lakes-FL-34639/60771344_lid
"16th Ave E, Bradenton, FL 34208","$338,918",Estimated Market Value,$1261/m,Single-Family,3,2,1174, 140%,https://www.foreclosure.com/address/16th-Ave-E-Bradenton-FL-34208/60771346_lid
"Polk St Apt 9, Hollywood, FL 33020","$107,419",Estimated Market Value,$940/m,Condo,1,1,600, 98%,https://www.foreclosure.com/address/Polk-St-Apt-9-Hollywood-FL-33020/60771358_lid
"Conch Key Way, Sanford, FL 32771","$389,353",Estimated Market Value,$1370/m,Single-Family,3,2,1751, 108%,https://www.foreclosure.com/address/Conch-Key-Way-Sanford-FL-32771/60771365_lid
"Sand Gables Trl, Bradenton, FL 34208",N/A,N/A,N/A,Single-Family,3,3,2704,N/A,https://www.foreclosure.com/address/Sand-Gables-Trl-Bradenton-FL-34208/60771399_lid
"Ocean Cay Way, Hypoluxo, FL 33462","$582,713",Estimated Market Value,$2320/m,Townhome,3,2,2089, 109%,https://www.foreclosure.com/address/Ocean-Cay-Way-Hypoluxo-FL-33462/60771400_lid
"W 9th St, Deltona, FL 32725","$253,189",Estimated Market Value,$1370/m,Single-Family,3,2,1867, 114%,https://www.foreclosure.com/address/W-9th-St-Deltona-FL-32725/60771405_lid
"Buttonweed Trl, Zephyrhills, FL 33541",N/A,N/A,N/A,Land,N/A,N/A,0,N/A,https://www.foreclosure.com/address/Buttonweed-Trl-Zephyrhills-FL-33541/60771407_lid
"Dakota Prairie Ct, Oviedo, FL 32765","$837,639",Estimated Market Value,$2560/m,Single-Family,6,4,3400, 110%,https://www.foreclosure.com/address/Dakota-Prairie-Ct-Oviedo-FL-32765/60771418_lid
"Dyson Dr, Winter Springs, FL 32708","$815,948",Estimated Market Value,$2370/m,Single-Family,4,3,3595, 101%,https://www.foreclosure.com/address/Dyson-Dr-Winter-Springs-FL-32708/60771430_lid
"Ne 18th Ave Apt 133, Miami, FL 33179","$159,314",Estimated Market Value,$1100/m,Condo,2,1,680, 148%,https://www.foreclosure.com/address/Ne-18th-Ave-Apt-133-Miami-FL-33179/60771431_lid
"Chestnut Cir, Hollywood, FL 33026","$444,212",Estimated Market Value,$1840/m,Townhome,3,2,1362, 106%,https://www.foreclosure.com/address/Chestnut-Cir-Hollywood-FL-33026/60771440_lid
"68th Ter S, Saint Petersburg, FL 33712","$372,480",Estimated Market Value,$1490/m,Single-Family,N/A,2,1235, 107%,https://www.foreclosure.com/address/68th-Ter-S-Saint-Petersburg-FL-33712/60771446_lid
"Savannah Falls Dr, Weston, FL 33327","$663,361",Estimated Market Value,$2560/m,Single-Family,3,2,1478, 107%,https://www.foreclosure.com/address/Savannah-Falls-Dr-Weston-FL-33327/60771447_lid
"Oakridge I, Deerfield Beach, FL 33442",N/A,N/A,N/A,Condo,1,1,700,N/A,https://www.foreclosure.com/address/Oakridge-I-Deerfield-Beach-FL-33442/60771456_lid
"Brigadoon Dr, Clearwater, FL 33759","$168,853",Estimated Market Value,$900/m,PUD,N/A,N/A,1024, 99%,https://www.foreclosure.com/address/Brigadoon-Dr-Clearwater-FL-33759/60771462_lid
"11th Ave W, Bradenton, FL 34205","$402,549",Estimated Market Value,$1550/m,Single-Family,3,2,1587, 108%,https://www.foreclosure.com/address/11th-Ave-W-Bradenton-FL-34205/60771464_lid
"57th Ct, Vero Beach, FL 32967","$672,209",Estimated Market Value,$2310/m,Single-Family,4,4,3209, 101%,https://www.foreclosure.com/address/57th-Ct-Vero-Beach-FL-32967/60771473_lid
"Gainer Way, Winter Springs, FL 32708","$507,869",Estimated Market Value,$1850/m,Single-Family,4,2,2076, 103%,https://www.foreclosure.com/address/Gainer-Way-Winter-Springs-FL-32708/60771525_lid
"Nw 152nd Ter, Miami Gardens, FL 33054",N/A,N/A,N/A,Single-Family,3,1,936,N/A,https://www.foreclosure.com/address/Nw-152nd-Ter-Miami-Gardens-FL-33054/60771528_lid
"Byron St, Dade City, FL 33523","$393,332",Estimated Market Value,$1450/m,Single-Family,N/A,2,1813, 125%,https://www.foreclosure.com/address/Byron-St-Dade-City-FL-33523/60771529_lid
"10th Ave, Indian Rocks Beach, FL 33785","$900,694",Estimated Market Value,$2450/m,Single-Family,N/A,2,1248, 97%,https://www.foreclosure.com/address/10th-Ave-Indian-Rocks-Beach-FL-33785/60771534_lid
"Nw 88th Ave, Hialeah, FL 33018","$734,283",Estimated Market Value,$2460/m,Single-Family,3,2,1889, 113%,https://www.foreclosure.com/address/Nw-88th-Ave-Hialeah-FL-33018/60771540_lid
"Bermuda Village Dr, Boca Raton, FL 33487","$702,765",Estimated Market Value,$2870/m,Townhome,3,3,1802, 116%,https://www.foreclosure.com/address/Bermuda-Village-Dr-Boca-Raton-FL-33487/60771545_lid
"Nw 113th Ave, Coral Springs, FL 33065","$621,225",Estimated Market Value,$2180/m,Single-Family,3,2,1656, 112%,https://www.foreclosure.com/address/Nw-113th-Ave-Coral-Springs-FL-33065/60771550_lid
"Ne 10th Ave, Pompano Beach, FL 33064","$356,736",Estimated Market Value,$1510/m,Single-Family,N/A,N/A,1012, 121%,https://www.foreclosure.com/address/Ne-10th-Ave-Pompano-Beach-FL-33064/60771564_lid
"Vineyard Ln, Port Richey, FL 34668","$250,356",Estimated Market Value,$973/m,Single-Family,2,2,1136, 129%,https://www.foreclosure.com/address/Vineyard-Ln-Port-Richey-FL-34668/60771584_lid
"Collins Ave Ofc 34, Miami Beach, FL 33141",N/A,N/A,N/A,Condo,N/A,1,345,N/A,https://www.foreclosure.com/address/Collins-Ave-Ofc-34-Miami-Beach-FL-33141/60771586_lid
